"CTYNAME","pop2020","GrowthRate"
"Los Angeles County","10079000","2.6121"
"San Diego County","3379160","8.8889"
"Orange County","3198000","6.0148"
"Riverside County","2517830","14.3610"
"San Bernardino County","2208400","8.2066"
"Santa Clara County","1945940","8.9503"
"Alameda County","1684000","11.2991"
"Sacramento County","1567490","10.2771"
"Contra Costa County","1160920","10.2949"
"Fresno County","1010120","8.3746"
"Kern County","912316","8.4706"
"San Francisco County","891583","10.6800"
"Ventura County","851297","3.1713"
"San Joaquin County","772948","12.4851"
"San Mateo County","771019","7.1269"
"Stanislaus County","558911","8.4916"
"Sonoma County","493334","1.7654"
"Tulare County","471389","6.4098"
"Solano County","452076","9.2119"
"Santa Barbara County","448369","5.6888"
"Monterey County","435828","4.6667"
"Placer County","408317","16.6533"
"San Luis Obispo County","286354","6.1337"
"Merced County","281615","9.6922"
"Santa Cruz County","272555","3.5673"
"Marin County","259548","2.6267"
"Butte County","235354","7.0058"
"Yolo County","224472","11.6315"
"El Dorado County","194590","7.4293"
"Imperial County","182333","4.3513"
"Shasta County","181042","2.1238"
"Madera County","161208","6.7560"
"Kings County","154706","1.5258"
"Napa County","137479","0.4905"
"Humboldt County","136065","0.7889"
"Nevada County","100082","1.3130"
"Sutter County","97545","2.9466"
"Mendocino County","87424","-0.4282"
"Yuba County","80573","11.3656"
"Lake County","64822","0.1344"
"Tehama County","64312","1.1752"
"San Benito County","64213","15.6637"
"Tuolumne County","55539","0.6305"
"Calaveras County","45522","0.1188"
"Siskiyou County","43604","-2.9685"
"Amador County","41047","8.3492"
"Lassen County","30160","-13.4130"
"Del Norte County","28628","0.2100"
"Glenn County","28229","0.3662"
"Colusa County","21531","0.4385"
"Plumas County","18932","-4.9312"
"Inyo County","18065","-2.4146"
"Mariposa County","17539","-4.0379"
"Mono County","14280","0.1613"
"Trinity County","12153","-11.6403"
"Modoc County","8635","-10.9702"
"Sierra County","2943","-8.6309"
"Alpine County","1061","-8.6133"
