ID,NAME,Meta_Scr
0,"RAISED BY WOLVES: SEASON 1 (2020)
",72%
1,"NOUGHTS + CROSSES: SEASON 1 (2020)
",73%
2,"WESTWORLD: SEASON 3 (2020)
",73%
3,"I KNOW THIS MUCH IS TRUE: MINISERIES (2020)
",74%
4,"WHEN THE STREETLIGHTS GO ON: SEASON 1 (2020)
",75%
5,"DISHMANTLED: SEASON 1 (2020)
",75%
6,"HIGH SCORE: MINISERIES (2020)
",76%
7,"LITTLE VOICE: SEASON 1 (2020)
",76%
8,"AFTER LIFE: SEASON 2 (2020)
",76%
9,"PENNY DREADFUL: CITY OF ANGELS: SEASON 1 (2020)
",76%
10,"ZOEY'S EXTRAORDINARY PLAYLIST: SEASON 1 (2020)
",76%
11,"TRUTH SEEKERS: SEASON 1 (2020)
",76%
12,"SAVED BY THE BELL: SEASON 1 (2020)
",76%
13,"WOKE: SEASON 1 (2020)
",76%
14,"PERRY MASON: SEASON 1 (2020)
",76%
15,"INDUSTRY: SEASON 1 (2020)
",77%
16,"THE UNDOING: SEASON 1 (2020)
",77%
17,"THE VOW: SEASON 1 (2020)
",78%
18,"ANIMANIACS: SEASON 1 (2020)
",78%
19,"THE THIRD DAY: MINISERIES (2020)
",78%
20,"LITTLE FIRES EVERYWHERE: SEASON 1 (2020)
",78%
21,"DOCTOR WHO: SEASON 12 (2020)
",78%
22,"BRIARPATCH: SEASON 1 (2020)
",79%
23,"THE PALE HORSE: MINISERIES (2020)
",79%
24,"HIGHTOWN: SEASON 1 (2020)
",80%
25,"PURE: SEASON 1 (2019)
",80%
26,"HOME BEFORE DARK: SEASON 1 (2020)
",80%
27,"KILLING EVE: SEASON 3 (2020)
",80%
28,"RUN: SEASON 1 (2020)
",80%
29,"HILLARY: SEASON 1 (2020)
",80%
30,"AWKWAFINA IS NORA FROM QUEENS: SEASON 1 (2020)
",81%
31,"STATELESS: SEASON 1 (2020)
",81%
32,"JEFFREY EPSTEIN: FILTHY RICH: SEASON 1 (2020)
",81%
33,"DEVS: SEASON 1 (2020)
",81%
34,"HIS DARK MATERIALS: SEASON 2 (2020)
",82%
35,"FARGO: SEASON 4 (2020)
",82%
36,"BAPTISTE: SERIES 1 (2019)
",83%
37,"THE STRANGER: SEASON 1 (2020)
",83%
38,"BREEDERS: SEASON 1 (2020)
",83%
39,"ALTERED CARBON: SEASON 2 (2020)
",83%
40,"WORLD ON FIRE: SERIES 1 (2019)
",84%
41,"TALES FROM THE LOOP: SEASON 1 (2020)
",85%
42,"DARE ME: SEASON 1 (2019)
",85%
43,"HOMELAND: SEASON 8 (2020)
",85%
44,"ALEX RIDER: SEASON 1 (2020)
",85%
45,"OUTLANDER: SEASON 5 (2019)
",85%
46,"DISPATCHES FROM ELSEWHERE: SEASON 1 (2020)
",86%
47,"HIGH FIDELITY: SEASON 1 (2020)
",86%
48,"THE PLOT AGAINST AMERICA: SEASON 1 (2020)
",86%
49,"TIGER KING: SEASON 1 (2020)
",86%
50,"UPLOAD: SEASON 1 (2020)
",87%
51,"I AM NOT OKAY WITH THIS: SEASON 1 (2020)
",87%
52,"STAR TREK: PICARD: SEASON 1 (2020)
",87%
53,"THE HAUNTING OF BLY MANOR: MINISERIES (2020)
",87%
54,"DEADWATER FELL: SERIES 1 (2020)
",88%
55,"GANGS OF LONDON: SEASON 1 (2020)
",88%
56,"LOONEY TUNES CARTOONS: SEASON 1 (2020)
",88%
57,"EMMYS: 72ND EMMYS (2020)
",88%
58,"WE ARE WHO WE ARE: SEASON 1 (2020)
",88%
59,"THE GREAT: SEASON 1 (2020)
",88%
60,"LOVECRAFT COUNTRY: SEASON 1 (2020)
",88%
61,"MCMILLIONS: SEASON 1 (2020)
",89%
62,"MYTHIC QUEST: RAVEN'S BANQUET: SEASON 1 (2020)
",89%
63,"STARGIRL: SEASON 1 (2019)
",89%
64,"FLESH AND BLOOD: SERIES 1 (2020)
",90%
65,"DIRTY JOHN: THE BETTY BRODERICK STORY (2020)
",90%
66,"LEGENDARY: SEASON 1 (2020)
",90%
67,"CITY SO REAL: MINISERIES (2020)
",90%
68,"LOVE, VICTOR: SEASON 1 (2020)
",90%
69,"THE NEW POPE: SEASON 1 (2020)
",90%
70,"TED LASSO: SEASON 1 (2020)
",90%
71,"THE UMBRELLA ACADEMY: SEASON 2 (2020)
",90%
72,"NORMAL PEOPLE: SEASON 1 (2020)
",90%
73,"GENTEFIED: SEASON 1 (2020)
",91%
74,"THE MIDNIGHT GOSPEL: SEASON 1 (2020)
",91%
75,"THE OUTSIDER: SEASON 1 (2020)
",91%
76,"THE WILDS: SEASON 1 (2020)
",92%
77,"LOVE FRAUD: SEASON 1 (2020)
",92%
78,"SEARCH PARTY: SEASON 3 (2020)
",92%
79,"CURB YOUR ENTHUSIASM: SEASON 10 (2020)
",92%
80,"SOLAR OPPOSITES: SEASON 1 (2019)
",92%
81,"JULIE AND THE PHANTOMS: SEASON 1 (2020)
",93%
82,"CENTRAL PARK: SEASON 1 (2020)
",94%
83,"THE CAPTURE: SEASON 1 (2019)
",92%
84,"BRIDGERTON: SEASON 1 (2020)
",92%
85,"TEENAGE BOUNTY HUNTERS: SEASON 1 (2020)
",93%
86,"STAR TREK: DISCOVERY: SEASON 3 (2020)
",93%
87,"DEAD TO ME: SEASON 2 (2020)
",93%
88,"UNBREAKABLE KIMMY SCHMIDT: UNBREAKABLE KIMMY SCHMIDT: KIMMY VS. THE REVEREND (2020)
",94%
89,"RICK AND MORTY: SEASON 4 (2019)
",94%
90,"I HATE SUZIE: SEASON 1 (2020)
",94%
91,"THE MANDALORIAN: SEASON 2 (2020)
",94%
92,"EVERYTHING'S GONNA BE OKAY: SEASON 1 (2020)
",95%
93,"INSECURE: SEASON 4 (2020)
",95%
94,"LITTLE AMERICA: SEASON 1 (2020)
",95%
95,"QUIZ: MINISERIES (2020)
",95%
96,"UNORTHODOX: MINISERIES (2020)
",96%
97,"EUPHORIA: TROUBLE DON'T LAST ALWAYS (2020)
",96%
98,"PARTY OF FIVE: SEASON 1 (2019)
",96%
99,"I'LL BE GONE IN THE DARK: SEASON 1 (2020)
",96%
100,"NEVER HAVE I EVER: SEASON 1 (2020)
",96%
101,"MRS. AMERICA: SEASON 1 (2020)
",96%
102,"BETTY: SEASON 1 (2020)
",97%
103,"CHEER: SEASON 1 (2020)
",97%
104,"DARK: SEASON 3 (2020)
",97%
105,"RAMY: SEASON 2 (2020)
",97%
106,"THE LAST DANCE: SEASON 1 (2020)
",97%
107,"THE QUEEN'S GAMBIT: MINISERIES (2020)
",97%
108,"THE BOYS: SEASON 2 (2020)
",97%
109,"THE CROWN: SEASON 4 (2020)
",97%
110,"OZARK: SEASON 3 (2020)
",98%
111,"THE GOOD LORD BIRD: SEASON 1 (2020)
",98%
112,"SEX EDUCATION: SEASON 2 (2020)
",98%
113,"I MAY DESTROY YOU: SEASON 1 (2020)
",98%
114,"THE FLIGHT ATTENDANT: MINISERIES (2020)
",98%
115,"BETTER CALL SAUL: SEASON 5 (2020)
",99%
116,"ONE DAY AT A TIME: SEASON 4 (2020)
1",00%
117,"HARLEY QUINN: SEASON 2 (2020)
1",00%
118,"BETTER THINGS: SEASON 4 (2020)
1",00%
119,"IMMIGRATION NATION: MINISERIES (2020)
1",00%
120,"PARKS AND RECREATION: A PARKS AND RECREATION SPECIAL (2020)
1",00%
121,"P-VALLEY: SEASON 1 (2020)
1",00%
122,"THE VIRTUES: SERIES 1 (2019)
1",00%
123,"DASH & LILY: SEASON 1 (2020)
1",00%
124,"SCHITT'S CREEK: SEASON 6 (2020)
1",00%
125,"FEEL GOOD: SEASON 1 (2020)
1",00%
126,"WHAT WE DO IN THE SHADOWS: SEASON 2 (2020)
1",00%
127,"PEN15: SEASON 2 (2020)
1",00%
128,"THE BABY-SITTERS CLUB: SEASON 1 (2020)
1",00%
